topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,1,4,10,1,0,1,1000,1024,10000,2,29,0.0147805589486
2,1,2,1000000,1,1,1,10,512,100,2,0,0.00140669959406
4,1,4,10,10,1,1,10,1024,100,5,29,0.0813570770062
4,10,4,10,10,1,1,10,1024,100,5,0,0.0793307759453
2,1,2,1000000,1,1,1,10,512,100,5,29,0.000785736365704
4,10,4,10,1,1,1000,1000,512,10000,5,29,0.210942298081
2,1,2,1000000,1,1,1,1000,1024,100,2,29,2.0
4,10,2,1000000,1,1,1000,10,512,10000,5,0,2.0
4,1,2,1000000,10,1,1000,1000,1024,10000,5,0,2.0
4,1,4,10,10,0,1000,10,512,100,2,29,0.457938592728
2,10,4,10,10,1,1,10,1024,10000,5,29,2.0
2,1,4,10,1,1,1000,10,1024,100,5,29,0.373738157782
4,1,2,1000000,1,1,1000,10,512,10000,5,29,2.0
2,10,2,10,1,1,1,10,1024,100,5,0,0.0146498298479
2,1,2,10,10,1,1,10,512,100,2,29,0.149932660896
2,1,2,1000000,10,1,1,10,512,10000,2,0,2.0
4,10,2,1000000,10,0,1,10,1024,100,2,0,7.35351191473e-05
4,1,4,10,10,0,1000,1000,1024,10000,2,29,0.463039751179
4,1,2,1000000,1,1,1,1000,512,100,5,29,2.0
2,1,4,10,1,1,1000,10,512,100,2,0,0.987025136755
2,1,2,10,10,1,1,10,1024,100,5,29,0.142215558669
2,10,2,10,1,1,1,10,1024,100,5,0,0.0146498298479
2,1,4,1000000,10,1,1,10,1024,100,5,29,2.0
2,10,2,1000000,1,1,1000,10,512,100,5,29,2.0
4,1,4,10,1,1,1000,10,512,10000,5,29,2.0
4,1,2,1000000,1,1,1000,10,1024,100,2,0,0.00510388197341
2,1,2,10,10,0,1,1000,1024,10000,5,29,0.142566893128
4,1,4,10,10,0,1000,10,1024,100,2,0,0.477584725394
4,1,2,1000000,1,1,1000,1000,1024,10000,2,29,0.00125554407137
2,10,2,1000000,1,1,1,1000,1024,10000,5,29,0.000998171154352
2,10,2,1000000,10,0,1000,1000,1024,10000,2,0,2.0
2,10,2,10,1,1,1,10,1024,100,5,0,0.0146498298479
2,1,2,10,1,0,1,1000,1024,10000,5,29,0.0149466938474
4,1,2,10,10,1,1000,1000,512,100,2,0,2.0
4,1,2,1000000,1,1,1000,10,1024,100,2,0,0.00510388197341
4,1,4,10,10,0,1000,1000,512,100,5,29,2.0
2,1,4,10,10,0,1000,1000,1024,10000,5,29,0.31464588074
4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,2.0
4,1,2,1000000,1,0,1000,1000,512,100,2,0,2.0
2,1,4,1000000,1,0,1000,1000,1024,10000,2,29,0.000664539595257
4,1,4,1000000,1,0,1000,10,1024,100,2,0,0.00250427933541
2,1,2,1000000,1,1,1,10,1024,100,5,0,2.0
2,10,2,1000000,1,1,1000,10,1024,100,2,0,0.00313613665549
2,1,4,10,10,0,1,10,1024,100,5,29,0.137058567999
4,10,4,10,1,0,1000,1000,1024,10000,2,0,0.704087871744
4,10,2,1000000,1,0,1000,1000,1024,10000,5,29,3.5405798108e-05
2,1,4,1000000,1,0,1000,1000,1024,10000,5,29,3.26822751766e-05
2,10,2,1000000,1,0,1000,10,1024,100,2,0,4.08528439707e-06
4,1,4,1000000,1,1,1000,1000,1024,10000,2,29,2.0
2,1,4,1000000,1,0,1000,10,1024,100,5,29,2.0
2,1,4,1000000,1,0,1000,10,1024,100,2,29,0.0011152826404
2,10,4,1000000,10,0,1000,1000,512,10000,5,29,2.0
4,10,2,1000000,1,0,1000,1000,1024,10000,2,29,0.00589642714644
4,1,2,1000000,1,0,1000,10,1024,10000,2,29,2.0
4,1,4,1000000,1,0,1000,1000,1024,100,2,0,2.0
4,10,4,10,10,0,1000,1000,1024,10000,2,0,0.43694295445
4,10,2,1000000,1,1,1000,10,1024,10000,2,29,2.0
2,10,4,1000000,10,0,1,10,1024,100,2,0,2.0
4,10,2,1000000,10,1,1000,1000,1024,10000,2,0,4.08528439707e-05
4,10,2,1000000,1,0,1000,1000,1024,10000,2,0,0.0036753941959
2,1,2,1000000,1,0,1000,10,1024,100,2,0,2.0
4,10,4,10,10,0,1,1000,1024,10000,2,0,0.142342202486
4,10,4,10,10,0,1000,1000,512,10000,2,0,0.392703409715
2,10,4,1000000,1,0,1000,10,1024,10000,5,29,2.0
2,10,2,1000000,1,0,1000,10,1024,100,5,0,2.0
2,1,4,10,1,0,1000,10,1024,100,2,29,0.984953897566
2,1,2,1000000,1,0,1000,10,1024,100,5,29,4.22146054364e-05
