ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,78156.8
1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,75558.6
1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,65736.2
0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,72960.4
1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,86307.2
1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,96368.4
1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,83831.4
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,60120.6
1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,78136.4
0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,69539.6
0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,66427.8
0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,84117.0
1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,83548.0
0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,84481.4
1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,88352.8
0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,63879.8
1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,83527.2
1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,66583.2
1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,95436.6
0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,91356.0
0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,63564.6
1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,74304.0
1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,80658.6
1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,87687.6
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,72022.8
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,60461.4
1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,84995.4
1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,62116.6
1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,66806.6
1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,75172.0
0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,82757.6
0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,89785.8
1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,70975.4
0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,68700.0
1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,91095.0
0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,75772.8
1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,84148.6
0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,78312.2
0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,78409.8
1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,88792.2
1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,65486.0
1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,77795.2
1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,90362.4
1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,73150.4
0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,84011.8
1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,76014.8
1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,72013.2
0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,73288.4
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,60812.8
0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,64251.4
1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,63654.6
1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,78560.2
1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,67302.2
1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,80228.8
1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,93691.6
0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,89509.0
1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,86386.2
1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,58264.0
0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,63484.0
0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,80406.8
0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,99594.8
0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,80012.2
1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,76756.2
0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,86023.2
0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,87891.2
1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,91340.4
