topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,10,2,10,1,1,1000,1000,1024,10000,5,29,0.281327662959
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
4,10,4,1000000,10,1,1000,1000,1024,10000,5,29,2.0
2,10,2,10,1,1,1,1000,1024,10000,5,29,0.0150597200491
2,10,2,1000000,1,1,1,10,512,100,5,29,0.00106081218177
2,1,2,10,1,1,1,1000,512,10000,5,0,0.0147710266184
2,1,2,10,1,1,1,1000,512,10000,5,0,0.0147710266184
2,10,2,10,10,0,1000,1000,512,10000,5,29,0.293418743012
2,10,2,10,10,1,1000,1000,1024,100,5,29,2.0
2,1,2,10,1,1,1,1000,1024,10000,5,29,0.0151455110214
2,10,2,10,1,1,1,1000,512,10000,5,0,0.0150597200491
2,1,2,10,1,1,1,1000,512,10000,5,0,0.0147710266184
2,10,2,1000000,10,1,1,1000,1024,10000,5,0,2.0
2,10,2,1000000,1,1,1,10,512,100,5,29,0.00106081218177
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
2,1,2,10,1,1,1,10,512,10000,2,0,2.0
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
2,10,2,1000000,1,0,1,1000,1024,10000,5,29,0.00105264161298
2,10,2,1000000,1,1,1,1000,512,10000,5,0,0.00101723581487
2,10,2,10,1,1,1000,1000,1024,10000,5,0,0.282576398223
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
2,10,2,1000000,10,1,1,10,1024,10000,5,0,2.0
2,10,2,1000000,1,1,1,1000,1024,100,5,0,2.0
2,10,2,1000000,1,1,1,10,512,100,5,0,0.00111255911747
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
2,10,2,1000000,1,1,1,1000,512,10000,5,0,0.00101723581487
2,1,2,1000000,1,0,1,1000,1024,10000,2,29,0.00136857027302
2,10,2,1000000,1,1,1,10,1024,10000,5,0,2.0
2,10,2,1000000,10,1,1,10,512,10000,2,0,2.0
2,1,2,1000000,1,1,1,10,1024,10000,2,0,2.0
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
2,10,2,1000000,10,0,1,1000,1024,10000,5,0,2.0
2,10,2,1000000,1,1,1,1000,1024,10000,5,29,0.000998171154352
2,1,2,1000000,1,0,1,1000,1024,10000,2,29,0.00136857027302
2,1,2,1000000,1,0,1,1000,1024,10000,2,29,0.00136857027302
4,1,2,1000000,1,1,1,1000,1024,10000,5,0,0.000704030677762
2,10,2,1000000,1,0,1,1000,1024,10000,2,29,0.00255330274817
2,10,2,1000000,1,1,1,1000,512,10000,2,29,0.00251517342713
4,1,2,1000000,1,0,1,10,1024,10000,5,0,2.0
2,1,2,1000000,1,0,1,10,1024,10000,2,29,2.0
2,10,4,1000000,1,1,1,1000,1024,10000,5,29,0.00105536513591
2,10,2,1000000,10,0,1,1000,1024,10000,5,0,2.0
2,1,2,1000000,1,1,1,1000,1024,10000,5,0,0.000783012842772
2,1,2,1000000,1,1,1,1000,1024,10000,5,0,0.000783012842772
2,10,2,1000000,1,1,1,10,1024,10000,2,0,2.0
2,1,2,1000000,1,0,1,1000,1024,10000,5,0,0.000785736365704
2,1,2,1000000,1,1,1,1000,1024,10000,5,0,0.000783012842772
2,10,4,1000000,1,1,1,1000,1024,10000,5,0,0.00104991809005
4,1,2,1000000,1,0,1,1000,1024,10000,5,29,0.000616877943958
2,1,2,1000000,1,0,1,10,1024,10000,2,29,2.0
2,1,2,1000000,1,0,1,1000,1024,10000,2,29,0.00136857027302
2,1,4,1000000,1,1,1,1000,1024,10000,5,0,0.000804801026223
4,1,2,1000000,1,1,1,10,1024,10000,5,0,2.0
2,10,2,1000000,1,1,1,1000,1024,10000,2,29,0.00249610876661
2,10,2,1000000,1,0,1,10,512,10000,2,29,2.0
2,10,2,1000000,1,0,1,1000,1024,10000,5,0,0.000976382970901
2,1,2,1000000,1,1,1,1000,1024,10000,2,0,0.00134678208957
2,1,2,1000000,1,1,1,10,512,10000,5,0,2.0
2,10,4,1000000,1,1,1,1000,1024,10000,2,0,0.00256964388576
2,1,4,10,1,1,1,1000,1024,10000,5,0,0.0148717969668
2,1,2,1000000,1,1,1,1000,1024,10000,5,0,0.000783012842772
2,1,2,1000000,1,1,1,10,1024,10000,5,0,2.0
4,1,2,1000000,1,0,1,1000,1024,10000,2,29,0.00330499507723
4,1,2,1000000,1,0,1,1000,1024,10000,5,29,0.000616877943958
2,10,4,1000000,1,1,1,10,1024,10000,5,29,2.0
