ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,65443.4
1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,71263.4
1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,75213.0
1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,61153.0
1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,67176.4
1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,68387.8
1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,76405.8
1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,71901.8
1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,68941.4
0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,68106.0
1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,69525.2
1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,69006.8
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,62046.4
1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,66100.8
1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,65433.6
1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,64875.0
1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,66120.6
1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,66648.0
1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,71158.4
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,60514.4
1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,77213.2
1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,68791.2
0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,59351.8
1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,65148.6
1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,66100.8
1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,58793.4
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,67042.4
0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,59294.4
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,60040.0
1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,72287.2
1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,58793.4
1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,66100.8
0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,59294.4
1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,59706.0
1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,63893.0
1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,65148.6
1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,59615.6
0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,62266.2
0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,60049.4
1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,59825.2
1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,65649.0
0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,63912.4
1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,62649.2
0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,66892.0
0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,59294.4
0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,73122.0
1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,59825.2
1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,57150.6
1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,60089.2
0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,60065.8
